"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 14-Dec-2023"
"NIFTY 50","24,498.35","24,792.30","24,180.80","24,548.70","24,768.30","-","219.60","0.89","31,00,80,852","30,429.59","26,277.35","21,137.20","5.13","16.93"
"BHARTIARTL","1,618.00","1,685.00","1,606.80","1,610.55","1,682.00","-","71.45","4.44","1,29,00,707","2,134.71","1,779.00","960.00","8.47","67.31"
"ITC","460.00","474.40","451.65","460.60","471.00","-","10.40","2.26","3,17,53,858","1,474.84","528.50","399.35","-0.47","2.15"
"KOTAKBANK","1,758.35","1,809.00","1,748.05","1,768.70","1,804.90","-","36.20","2.05","38,93,531","692.05","1,942.00","1,543.85","6.98","-2.60"
"HINDUNILVR","2,344.95","2,394.55","2,333.45","2,344.95","2,391.25","-","46.30","1.97","22,60,902","535.98","3,035.00","2,172.05","-3.04","-5.02"
"ULTRACEMCO","11,800.00","12,118.50","11,730.00","11,856.95","12,082.35","-","225.40","1.90","4,08,880","489.50","12,138.00","9,250.00","12.07","21.28"
"TITAN","3,420.00","3,518.00","3,380.25","3,445.75","3,511.00","-","65.25","1.89","12,42,351","429.83","3,886.95","3,055.65","10.07","-2.30"
"POWERGRID","330.65","334.30","325.05","329.20","334.10","-","4.90","1.49","1,49,73,536","494.97","366.25","222.70","4.98","43.84"
"HCLTECH","1,939.00","1,975.00","1,912.35","1,936.20","1,965.00","-","28.80","1.49","25,69,918","502.41","1,975.00","1,235.00","5.58","39.18"
"NESTLEIND","2,225.00","2,257.85","2,208.25","2,224.05","2,255.00","-","30.95","1.39","5,54,661","124.14","2,778.00","2,168.70","0.82","-90.91"
"GRASIM","2,641.00","2,700.00","2,620.50","2,660.05","2,696.05","-","36.00","1.35","4,12,267","110.14","2,877.75","2,016.55","7.58","27.99"
